asset_Type,data_source,code,agg_algo,settle_type,real_time_take_over,price_type,data_type,curve_name,curve_id,period,ohlc_begin,ohlc_end,open_px,high_px,low_px,close_px,open_yield,high_yield,low_yield,close_yield,ctd_Bond,volume,trade_times,total_volume,open_time,close_time,high_time,low_time
BOND,XBOND,“220210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",103.8333,103.8333,103.8333,103.8333,2.4373,2.4373,2.4373,2.4373,,0,,,,,,
BOND,XBOND,“220210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",104,104,104,104,2.4141,2.4141,2.4141,2.4141,,0,,,,,,
BOND,XBOND,“220220“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“220205“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“220205“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“190210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“180210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“180210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“190210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“190210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“220220“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“220205“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“220220“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:14:00	","	2024-07-18 09:15:00	",,,,,,,,,,,,,,,,
BOND,XBOND,“170010“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:15:00	","	2024-07-18 09:16:00	",101.0934,101.0934,101.0934,101.0934,3.1071,3.1071,3.1071,3.1071,,0,,,,,,
BOND,XBOND,“170010“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:15:00	","	2024-07-18 09:16:00	",101.0934,101.0934,101.0934,101.0934,3.1071,3.1071,3.1071,3.1071,,0,,,,,,
BOND,XBOND,“170010“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:15:00	","	2024-07-18 09:16:00	",,,,,,,,,,0,,,,,,
BOND,XBOND,“210210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",100,100,100,100,3.409,3.409,3.409,3.409,,0,,,,,,
BOND,XBOND,“220210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",103.6666,103.6666,103.6666,103.6666,2.4604,2.4604,2.4604,2.4604,,0,,,,,,
BOND,XBOND,“220210“,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",103.8333,103.8333,103.8333,103.8333,2.4373,2.4373,2.4373,2.4373,,0,,,,,,
BOND,XBOND,“210210“,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",100,100,100,100,3.409,3.409,3.409,3.409,,0,,,,,,
BOND,XBOND,“210210“,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-18 09:16:00	","	2024-07-18 09:17:00	",,,,,,,,,,0,,,,,,
