code,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_yield1,ask_yield2,ask_yield3,ask_yield4,ask_yield5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_yield1,bid_yield2,bid_yield3,bid_yield4,bid_yield5,clearMethod,deliveryType,dataSource,settle_type,recv_time,source_time,is_inversion,is_unilateral,is_vacuum,is_spike
170010,10000000,,,,,103.7737,,,,,2.1233,,,,,10000000,,,,,103.5196,,,,,2.2153,,,,,,,XBOND,T1,"	2024-07-16 19:44:51	","	2024-07-16 19:44:50	",0,0,0,0
180011,120000000,,,,,103.4866,,,,,2.7254,,,,,100000000,100000000,,,,103.4773,103.4681,,,,2.7279,2.7304,,,,,,XBOND,T1,"	2024-07-16 19:44:50	","	2024-07-16 19:44:49	",0,0,0,0
220210,170000000,1000000000,1000000000,1000000000,1000000000,101.3333,101.4444,101.5555,101.9879,101.9898,2.7888,2.773,2.7572,2.6959,2.6957,10000000,10000000,20000000,10000000,20000000,101.0,100.8,100.1,100.0,99.9,2.8363,2.8649,2.9656,2.98,2.9944,,,XBOND,T1,"	2024-07-16 19:44:47	","	2024-07-16 19:44:46	",0,0,0,0
220210,10000000,170000000,1000000000,1000000000,1000000000,100.0,101.3333,101.4444,101.5555,101.9879,2.98,2.7888,2.773,2.7572,2.6959,20000000,10000000,20000000,10000000,20000000,101.0,100.8,100.1,100.0,99.9,2.8363,2.8649,2.9656,2.98,2.9944,,,XBOND,T1,"	2024-07-16 19:44:46	","	2024-07-16 19:44:45	",1,0,0,0
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:44:40	","	2024-07-16 19:44:39	",0,0,0,0
180011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XBOND,T1,"	2024-07-16 19:44:38	","	2024-07-16 19:44:38	",0,0,1,0
220210,170000000,1000000000,1000000000,1000000000,1000000000,101.3333,101.4444,101.5555,101.9879,101.9898,2.7888,2.773,2.7572,2.6959,2.6957,20000000,10000000,20000000,10000000,20000000,101.0,100.8,100.1,100.0,99.9,2.8363,2.8649,2.9656,2.98,2.9944,,,XBOND,T1,"	2024-07-16 19:43:49	","	2024-07-16 19:43:49	",0,0,0,0
170010,10000000,,,,,103.7524,,,,,2.131,,,,,10000000,,,,,103.4923,,,,,2.2252,,,,,,,XBOND,T1,"	2024-07-16 19:43:01	","	2024-07-16 19:43:00	",0,0,0,0
180011,120000000,,,,,103.4585,,,,,2.733,,,,,100000000,100000000,,,,103.4412,103.4319,,,,2.7377,2.7402,,,,,,XBOND,T1,"	2024-07-16 19:43:00	","	2024-07-16 19:42:59	",0,0,0,0
170010,10000000,,,,,102.1441,,,,,2.7182,,,,,10000000,,,,,101.2553,,,,,3.0475,,,,,,,XBOND,T1,"	2024-07-16 19:42:34	","	2024-07-16 19:42:34	",0,0,0,0
