asset_Type,data_source,code,agg_algo,settle_type,real_time_take_over,price_type,data_type,curve_name,curve_id,period,ohlc_begin,ohlc_end,open_px,high_px,low_px,close_px,open_yield,open_yield,open_yield,open_yield,ctd_Bond,volume,trade_times,total_volume,open_time,close_time,high_time,low_time
BOND,XBOND,200210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:43:00	","	2024-07-03 09:44:00	",100.536400000000,100.536400000000,100.536400000000,100.536400000000,3.001500000000,3.001500000000,3.001500000000,3.001500000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:47:00	","	2024-07-03 09:48:00	",107.823700000000,107.823700000000,107.823700000000,107.823700000000,1.900000000000,1.900000000000,1.900000000000,1.900000000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:47:00	","	2024-07-03 09:48:00	",107.823700000000,107.823700000000,107.823700000000,107.823700000000,1.900000000000,1.900000000000,1.900000000000,1.900000000000,,0.0000,,,,,,
BOND,XBOND,220210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:47:00	","	2024-07-03 09:48:00	",107.072100000000,107.072100000000,107.072100000000,107.072100000000,2.000000000000,2.000000000000,2.000000000000,2.000000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:54:00	","	2024-07-03 09:55:00	",100.144900000000,100.144900000000,100.144900000000,100.144900000000,4.000000000000,4.000000000000,4.000000000000,4.000000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:54:00	","	2024-07-03 09:55:00	",103.870400000000,103.870400000000,103.870400000000,103.870400000000,3.000000000000,3.000000000000,3.000000000000,3.000000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:54:00	","	2024-07-03 09:55:00	",102.007700000000,102.007700000000,102.007700000000,102.007700000000,3.500000000000,3.500000000000,3.500000000000,3.500000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:55:00	","	2024-07-03 09:56:00	",100.144900000000,100.144900000000,100.144900000000,100.144900000000,4.000000000000,4.000000000000,4.000000000000,4.000000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:55:00	","	2024-07-03 09:56:00	",102.922400000000,102.922400000000,102.922400000000,102.922400000000,3.250000000000,3.250000000000,3.250000000000,3.250000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:55:00	","	2024-07-03 09:56:00	",101.533700000000,101.533700000000,101.533700000000,101.533700000000,3.625000000000,3.625000000000,3.625000000000,3.625000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:57:00	","	2024-07-03 09:58:00	",100.144900000000,100.144900000000,100.144900000000,100.144900000000,4.000000000000,4.000000000000,4.000000000000,4.000000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:57:00	","	2024-07-03 09:58:00	",102.922400000000,102.922400000000,102.922400000000,102.922400000000,3.250000000000,3.250000000000,3.250000000000,3.250000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:57:00	","	2024-07-03 09:58:00	",101.533700000000,101.533700000000,101.533700000000,101.533700000000,3.625000000000,3.625000000000,3.625000000000,3.625000000000,,0.0000,,,,,,
BOND,XBOND,050004,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:58:00	","	2024-07-03 09:59:00	",91.455400000000,91.455400000000,91.455400000000,91.455400000000,14.999900000000,14.999900000000,14.999900000000,14.999900000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:58:00	","	2024-07-03 09:59:00	",100.509600000000,100.509600000000,100.509600000000,100.509600000000,3.900000000000,3.900000000000,3.900000000000,3.900000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:58:00	","	2024-07-03 09:59:00	",102.922400000000,102.922400000000,102.922400000000,102.922400000000,3.250000000000,3.250000000000,3.250000000000,3.250000000000,,0.0000,,,,,,
BOND,XBOND,180210,,T1,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:58:00	","	2024-07-03 09:59:00	",101.716000000000,101.716000000000,101.716000000000,101.716000000000,3.575000000000,3.575000000000,3.575000000000,3.575000000000,,0.0000,,,,,,
BOND,XBOND,050004,,T1,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:58:00	","	2024-07-03 09:59:00	",,,,,,,,,,0.0000,,,,,,
BOND,XBOND,230210,,T0,,OFFER,PRICE,,,ONE_MINUTE,"	2024-07-03 09:58:00	","	2024-07-03 09:59:00	",,,,,,,,,,0.0000,,,,,,
BOND,XBOND,050004,,T1,,BID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:58:00	","	2024-07-03 09:59:00	",91.455400000000,91.455400000000,91.455400000000,91.455400000000,14.999900000000,14.999900000000,14.999900000000,14.999900000000,,0.0000,,,,,,
BOND,XBOND,230210,,T0,,MID,PRICE,,,ONE_MINUTE,"	2024-07-03 09:58:00	","	2024-07-03 09:59:00	",100.000000000000,100.000000000000,100.000000000000,100.000000000000,2.819500000000,2.819500000000,2.819500000000,2.819500000000,,0.0000,,,,,,
